delta,N,N_source,L_case,L,N_need,purity_p,p_source,success_s,s_source,capacity_c,c_source,A_reachable_arrivals_per_night_cp95_lo,binding,spectra_S,P60_hours_H,wrong_routine_commitments_W,cost_slots,rubin_on_sky_nights,missed_rare_penalty
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=0 (upper cost; measured cohort labels UNDEMONSTRATED or 0),0,485,0.81,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1443,1465 (BTSbot bts_p1 present-day)",1.0,optimistic bound,10,arXiv:1910.12973 raw line 139 ('> 10 SNe in the 18.5-19 magnitude range every night'),334.8,capacity,599,299.5,114,599,60,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=T1 measured non-bot cohort labels,0,485,0.81,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1443,1465 (BTSbot bts_p1 present-day)",1.0,optimistic bound,10,arXiv:1910.12973 raw line 139 ('> 10 SNe in the 18.5-19 magnitude range every night'),334.8,capacity,599,299.5,114,599,60,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=0 (upper cost; measured cohort labels UNDEMONSTRATED or 0),0,485,0.846,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1134,1170 (bts_p1 test)",0.93,arXiv:2009.01242 raw lines 854-855 (93% of m<18.5 events classified),4.5,arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) line 1494 (BTSbot median bts_p1 sources per night),334.8,capacity,617,308.5,95,617,138,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=T1 measured non-bot cohort labels,0,485,0.846,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1134,1170 (bts_p1 test)",0.93,arXiv:2009.01242 raw lines 854-855 (93% of m<18.5 events classified),4.5,arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) line 1494 (BTSbot median bts_p1 sources per night),334.8,capacity,617,308.5,95,617,138,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=0 (upper cost; measured cohort labels UNDEMONSTRATED or 0),0,485,0.846,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1134,1170 (bts_p1 test)",0.93,arXiv:2009.01242 raw lines 854-855 (93% of m<18.5 events classified),8,"wave-1 slot k=8 per night (astronomy/agent5_resolution_replay, arXiv:2401.15167)",334.8,capacity,617,308.5,95,617,78,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=T1 measured non-bot cohort labels,0,485,0.846,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1134,1170 (bts_p1 test)",0.93,arXiv:2009.01242 raw lines 854-855 (93% of m<18.5 events classified),8,"wave-1 slot k=8 per night (astronomy/agent5_resolution_replay, arXiv:2401.15167)",334.8,capacity,617,308.5,95,617,78,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=0 (upper cost; measured cohort labels UNDEMONSTRATED or 0),0,485,0.846,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1134,1170 (bts_p1 test)",0.93,arXiv:2009.01242 raw lines 854-855 (93% of m<18.5 events classified),10,arXiv:1910.12973 raw line 139 ('> 10 SNe in the 18.5-19 magnitude range every night'),334.8,capacity,617,308.5,95,617,62,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=T1 measured non-bot cohort labels,0,485,0.846,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1134,1170 (bts_p1 test)",0.93,arXiv:2009.01242 raw lines 854-855 (93% of m<18.5 events classified),10,arXiv:1910.12973 raw line 139 ('> 10 SNe in the 18.5-19 magnitude range every night'),334.8,capacity,617,308.5,95,617,62,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=0 (upper cost; measured cohort labels UNDEMONSTRATED or 0),0,485,0.846,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1134,1170 (bts_p1 test)",1.0,optimistic bound,4.5,arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) line 1494 (BTSbot median bts_p1 sources per night),334.8,capacity,574,287.0,89,574,128,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=T1 measured non-bot cohort labels,0,485,0.846,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1134,1170 (bts_p1 test)",1.0,optimistic bound,4.5,arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) line 1494 (BTSbot median bts_p1 sources per night),334.8,capacity,574,287.0,89,574,128,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=0 (upper cost; measured cohort labels UNDEMONSTRATED or 0),0,485,0.846,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1134,1170 (bts_p1 test)",1.0,optimistic bound,8,"wave-1 slot k=8 per night (astronomy/agent5_resolution_replay, arXiv:2401.15167)",334.8,capacity,574,287.0,89,574,72,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=T1 measured non-bot cohort labels,0,485,0.846,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1134,1170 (bts_p1 test)",1.0,optimistic bound,8,"wave-1 slot k=8 per night (astronomy/agent5_resolution_replay, arXiv:2401.15167)",334.8,capacity,574,287.0,89,574,72,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=0 (upper cost; measured cohort labels UNDEMONSTRATED or 0),0,485,0.846,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1134,1170 (bts_p1 test)",1.0,optimistic bound,10,arXiv:1910.12973 raw line 139 ('> 10 SNe in the 18.5-19 magnitude range every night'),334.8,capacity,574,287.0,89,574,58,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=T1 measured non-bot cohort labels,0,485,0.846,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1134,1170 (bts_p1 test)",1.0,optimistic bound,10,arXiv:1910.12973 raw line 139 ('> 10 SNe in the 18.5-19 magnitude range every night'),334.8,capacity,574,287.0,89,574,58,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=0 (upper cost; measured cohort labels UNDEMONSTRATED or 0),0,485,0.92,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1443,1466 (bts_p2 present-day)",0.93,arXiv:2009.01242 raw lines 854-855 (93% of m<18.5 events classified),4.5,arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) line 1494 (BTSbot median bts_p1 sources per night),334.8,capacity,567,283.5,45,567,126,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=T1 measured non-bot cohort labels,0,485,0.92,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1443,1466 (bts_p2 present-day)",0.93,arXiv:2009.01242 raw lines 854-855 (93% of m<18.5 events classified),4.5,arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) line 1494 (BTSbot median bts_p1 sources per night),334.8,capacity,567,283.5,45,567,126,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=0 (upper cost; measured cohort labels UNDEMONSTRATED or 0),0,485,0.92,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1443,1466 (bts_p2 present-day)",0.93,arXiv:2009.01242 raw lines 854-855 (93% of m<18.5 events classified),8,"wave-1 slot k=8 per night (astronomy/agent5_resolution_replay, arXiv:2401.15167)",334.8,capacity,567,283.5,45,567,71,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=T1 measured non-bot cohort labels,0,485,0.92,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1443,1466 (bts_p2 present-day)",0.93,arXiv:2009.01242 raw lines 854-855 (93% of m<18.5 events classified),8,"wave-1 slot k=8 per night (astronomy/agent5_resolution_replay, arXiv:2401.15167)",334.8,capacity,567,283.5,45,567,71,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=0 (upper cost; measured cohort labels UNDEMONSTRATED or 0),0,485,0.92,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1443,1466 (bts_p2 present-day)",0.93,arXiv:2009.01242 raw lines 854-855 (93% of m<18.5 events classified),10,arXiv:1910.12973 raw line 139 ('> 10 SNe in the 18.5-19 magnitude range every night'),334.8,capacity,567,283.5,45,567,57,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=T1 measured non-bot cohort labels,0,485,0.92,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1443,1466 (bts_p2 present-day)",0.93,arXiv:2009.01242 raw lines 854-855 (93% of m<18.5 events classified),10,arXiv:1910.12973 raw line 139 ('> 10 SNe in the 18.5-19 magnitude range every night'),334.8,capacity,567,283.5,45,567,57,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=0 (upper cost; measured cohort labels UNDEMONSTRATED or 0),0,485,0.92,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1443,1466 (bts_p2 present-day)",1.0,optimistic bound,4.5,arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) line 1494 (BTSbot median bts_p1 sources per night),334.8,capacity,528,264.0,43,528,118,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=T1 measured non-bot cohort labels,0,485,0.92,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1443,1466 (bts_p2 present-day)",1.0,optimistic bound,4.5,arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) line 1494 (BTSbot median bts_p1 sources per night),334.8,capacity,528,264.0,43,528,118,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=0 (upper cost; measured cohort labels UNDEMONSTRATED or 0),0,485,0.92,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1443,1466 (bts_p2 present-day)",1.0,optimistic bound,8,"wave-1 slot k=8 per night (astronomy/agent5_resolution_replay, arXiv:2401.15167)",334.8,capacity,528,264.0,43,528,66,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=T1 measured non-bot cohort labels,0,485,0.92,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1443,1466 (bts_p2 present-day)",1.0,optimistic bound,8,"wave-1 slot k=8 per night (astronomy/agent5_resolution_replay, arXiv:2401.15167)",334.8,capacity,528,264.0,43,528,66,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=0 (upper cost; measured cohort labels UNDEMONSTRATED or 0),0,485,0.92,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1443,1466 (bts_p2 present-day)",1.0,optimistic bound,10,arXiv:1910.12973 raw line 139 ('> 10 SNe in the 18.5-19 magnitude range every night'),334.8,capacity,528,264.0,43,528,53,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=T1 measured non-bot cohort labels,0,485,0.92,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1443,1466 (bts_p2 present-day)",1.0,optimistic bound,10,arXiv:1910.12973 raw line 139 ('> 10 SNe in the 18.5-19 magnitude range every night'),334.8,capacity,528,264.0,43,528,53,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=0 (upper cost; measured cohort labels UNDEMONSTRATED or 0),0,485,0.93,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1134,1169 (bts_p2 test)",0.93,arXiv:2009.01242 raw lines 854-855 (93% of m<18.5 events classified),4.5,arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) line 1494 (BTSbot median bts_p1 sources per night),334.8,capacity,561,280.5,39,561,125,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=T1 measured non-bot cohort labels,0,485,0.93,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1134,1169 (bts_p2 test)",0.93,arXiv:2009.01242 raw lines 854-855 (93% of m<18.5 events classified),4.5,arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) line 1494 (BTSbot median bts_p1 sources per night),334.8,capacity,561,280.5,39,561,125,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=0 (upper cost; measured cohort labels UNDEMONSTRATED or 0),0,485,0.93,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1134,1169 (bts_p2 test)",0.93,arXiv:2009.01242 raw lines 854-855 (93% of m<18.5 events classified),8,"wave-1 slot k=8 per night (astronomy/agent5_resolution_replay, arXiv:2401.15167)",334.8,capacity,561,280.5,39,561,71,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=T1 measured non-bot cohort labels,0,485,0.93,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1134,1169 (bts_p2 test)",0.93,arXiv:2009.01242 raw lines 854-855 (93% of m<18.5 events classified),8,"wave-1 slot k=8 per night (astronomy/agent5_resolution_replay, arXiv:2401.15167)",334.8,capacity,561,280.5,39,561,71,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=0 (upper cost; measured cohort labels UNDEMONSTRATED or 0),0,485,0.93,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1134,1169 (bts_p2 test)",0.93,arXiv:2009.01242 raw lines 854-855 (93% of m<18.5 events classified),10,arXiv:1910.12973 raw line 139 ('> 10 SNe in the 18.5-19 magnitude range every night'),334.8,capacity,561,280.5,39,561,57,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=T1 measured non-bot cohort labels,0,485,0.93,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1134,1169 (bts_p2 test)",0.93,arXiv:2009.01242 raw lines 854-855 (93% of m<18.5 events classified),10,arXiv:1910.12973 raw line 139 ('> 10 SNe in the 18.5-19 magnitude range every night'),334.8,capacity,561,280.5,39,561,57,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=0 (upper cost; measured cohort labels UNDEMONSTRATED or 0),0,485,0.93,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1134,1169 (bts_p2 test)",1.0,optimistic bound,4.5,arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) line 1494 (BTSbot median bts_p1 sources per night),334.8,capacity,522,261.0,37,522,116,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=T1 measured non-bot cohort labels,0,485,0.93,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1134,1169 (bts_p2 test)",1.0,optimistic bound,4.5,arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) line 1494 (BTSbot median bts_p1 sources per night),334.8,capacity,522,261.0,37,522,116,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=0 (upper cost; measured cohort labels UNDEMONSTRATED or 0),0,485,0.93,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1134,1169 (bts_p2 test)",1.0,optimistic bound,8,"wave-1 slot k=8 per night (astronomy/agent5_resolution_replay, arXiv:2401.15167)",334.8,capacity,522,261.0,37,522,66,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=T1 measured non-bot cohort labels,0,485,0.93,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1134,1169 (bts_p2 test)",1.0,optimistic bound,8,"wave-1 slot k=8 per night (astronomy/agent5_resolution_replay, arXiv:2401.15167)",334.8,capacity,522,261.0,37,522,66,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=0 (upper cost; measured cohort labels UNDEMONSTRATED or 0),0,485,0.93,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1134,1169 (bts_p2 test)",1.0,optimistic bound,10,arXiv:1910.12973 raw line 139 ('> 10 SNe in the 18.5-19 magnitude range every night'),334.8,capacity,522,261.0,37,522,53,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=T1 measured non-bot cohort labels,0,485,0.93,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) lines 1134,1169 (bts_p2 test)",1.0,optimistic bound,10,arXiv:1910.12973 raw line 139 ('> 10 SNe in the 18.5-19 magnitude range every night'),334.8,capacity,522,261.0,37,522,53,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=0 (upper cost; measured cohort labels UNDEMONSTRATED or 0),0,485,0.956,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) line 1243 (scanner triggering, restated)",0.93,arXiv:2009.01242 raw lines 854-855 (93% of m<18.5 events classified),4.5,arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) line 1494 (BTSbot median bts_p1 sources per night),334.8,capacity,546,273.0,24,546,122,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=T1 measured non-bot cohort labels,0,485,0.956,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) line 1243 (scanner triggering, restated)",0.93,arXiv:2009.01242 raw lines 854-855 (93% of m<18.5 events classified),4.5,arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) line 1494 (BTSbot median bts_p1 sources per night),334.8,capacity,546,273.0,24,546,122,+100 slots per missed rare event (M UNDEMONSTRATED)
0.018,485,frozen bands min N_min (agent1 planning_mde_bracket_w3.csv family B),L=0 (upper cost; measured cohort labels UNDEMONSTRATED or 0),0,485,0.956,"arXiv:2401.15167 raw.txt (astronomy/wave2/agent2_label_source/sources/2401.15167.raw.txt) line 1243 (scanner triggering, restated)",0.93,arXiv:2009.01242 raw lines 854-855 (93% of m<18.5 events classified),8,"wave-1 slot k=8 per night (astronomy/agent5_resolution_replay, arXiv:2401.15167)",334.8,capacity,546,273.0,24,546,69,+100 slots per missed rare event (M UNDEMONSTRATED)
