candid,mjd,band,flux,fluxerr,magpsf,sigmapsf,isdiffpos
2019328444515015024,59773.328449,ztfr,300.111059,38.261664,18.806795,0.138422,1
2023202813215015014,59777.202812,ztfr,267.299410,21.707326,18.932505,0.088172,1
2023203284515015003,59777.203287,ztfr,245.405335,20.757068,19.025290,0.091835,1
2024186643215015016,59778.186643,ztfr,247.675358,21.096968,19.015293,0.092483,1
2024237413215015014,59778.237419,ztfr,262.147427,32.462894,18.953636,0.134452,1
2025249314515015006,59779.249317,ztfr,260.861508,22.318195,18.958975,0.092891,1
2026185703215015149,59780.185706,ztfr,165.180205,18.259717,19.455105,0.120022,1
2026262043215015129,59780.262049,ztfg,199.392308,31.139056,19.250729,0.169559,1
2027236154515015003,59781.236157,ztfg,196.916088,20.290269,19.264297,0.111874,1
2028237893215015008,59782.237893,ztfr,231.772124,24.904167,19.087347,0.116664,1
2029266164515015001,59783.266169,ztfr,238.644813,25.043894,19.055620,0.113939,1
2029277674515015003,59783.277674,ztfg,165.605974,22.166153,19.452310,0.145324,1
2030269503215015027,59784.269502,ztfr,228.791560,27.729909,19.101400,0.131593,1
2031227374515015006,59785.227373,ztfg,181.485361,17.846521,19.352896,0.106767,1
2032194293215015011,59786.194294,ztfg,184.611691,27.288424,19.334352,0.160488,1
2032242473215015011,59786.242477,ztfr,237.741391,22.334177,19.059738,0.101997,1
2033213514515015007,59787.213518,ztfg,168.443400,21.437709,19.433865,0.138181,1
2035224514515015006,59789.224514,ztfr,240.406608,24.761884,19.047634,0.111831,1
2037182103215015015,59791.182107,ztfr,225.221580,23.442792,19.118475,0.113012,1
2037237173215015013,59791.237176,ztfg,158.876623,26.722141,19.497350,0.182615,1
2038267384515015011,59792.267384,ztfg,180.311240,33.641686,19.359943,0.202572,1
