delta,delta_status,N,L_case,N_need,purity_p,success_s,capacity_c,spectra_S,P60_hours,wrong_routine_commitments,cost_slots,missed_rare_penalty,p60_usable_nights_needed,spectra_per_month_first,p60_nights_per_month_first,rubin_on_sky_nights_per_month_first,return_month_R,months_after_R,completion_month,months_aggregate_Ubar,binding_first_month
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.81,0.93,4.5,84,42.0,16,84,+100 slots per missed rare event (M UNDEMONSTRATED),19,104.6,23.2,20.7,2027-08,1,2027-08,0.99,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.81,0.93,4.5,84,42.0,16,84,+100 slots per missed rare event (M UNDEMONSTRATED),19,101.2,22.5,20.0,2027-09,1,2027-09,0.99,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.81,0.93,4.5,67,33.5,13,67,+100 slots per missed rare event (M UNDEMONSTRATED),15,93.4,20.8,20.7,2026-10,1,2026-10,0.79,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.81,0.93,4.5,67,33.5,13,67,+100 slots per missed rare event (M UNDEMONSTRATED),15,83.3,18.5,20.0,2026-11,1,2026-11,0.79,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.81,0.93,4.5,67,33.5,13,67,+100 slots per missed rare event (M UNDEMONSTRATED),15,55.1,12.2,20.7,2026-12,2,2027-01,0.79,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.81,0.93,4.5,67,33.5,13,67,+100 slots per missed rare event (M UNDEMONSTRATED),15,47.3,10.5,20.7,2027-01,2,2027-02,0.79,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.81,0.93,4.5,67,33.5,13,67,+100 slots per missed rare event (M UNDEMONSTRATED),15,59.2,13.2,18.7,2027-02,2,2027-03,0.79,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.81,0.93,4.5,67,33.5,13,67,+100 slots per missed rare event (M UNDEMONSTRATED),15,41.6,9.2,20.7,2027-03,2,2027-04,0.79,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.81,0.93,4.5,67,33.5,13,67,+100 slots per missed rare event (M UNDEMONSTRATED),15,94.5,21.0,20.0,2027-04,1,2027-04,0.79,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.81,0.93,4.5,67,33.5,13,67,+100 slots per missed rare event (M UNDEMONSTRATED),15,103.5,23.0,20.7,2027-05,1,2027-05,0.79,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.81,0.93,4.5,67,33.5,13,67,+100 slots per missed rare event (M UNDEMONSTRATED),15,113.6,25.2,20.0,2027-06,1,2027-06,0.79,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.81,0.93,4.5,67,33.5,13,67,+100 slots per missed rare event (M UNDEMONSTRATED),15,115.9,25.7,20.7,2027-07,1,2027-07,0.79,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.81,0.93,4.5,67,33.5,13,67,+100 slots per missed rare event (M UNDEMONSTRATED),15,104.6,23.2,20.7,2027-08,1,2027-08,0.79,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.81,0.93,4.5,67,33.5,13,67,+100 slots per missed rare event (M UNDEMONSTRATED),15,101.2,22.5,20.0,2027-09,1,2027-09,0.79,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.81,0.93,8,84,42.0,16,84,+100 slots per missed rare event (M UNDEMONSTRATED),11,166.0,20.8,20.7,2026-10,1,2026-10,0.56,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.81,0.93,8,84,42.0,16,84,+100 slots per missed rare event (M UNDEMONSTRATED),11,148.0,18.5,20.0,2026-11,1,2026-11,0.56,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.81,0.93,8,84,42.0,16,84,+100 slots per missed rare event (M UNDEMONSTRATED),11,98.0,12.2,20.7,2026-12,1,2026-12,0.56,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.81,0.93,8,84,42.0,16,84,+100 slots per missed rare event (M UNDEMONSTRATED),11,84.0,10.5,20.7,2027-01,1,2027-01,0.56,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.81,0.93,8,84,42.0,16,84,+100 slots per missed rare event (M UNDEMONSTRATED),11,105.2,13.2,18.7,2027-02,1,2027-02,0.56,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.81,0.93,8,84,42.0,16,84,+100 slots per missed rare event (M UNDEMONSTRATED),11,74.0,9.2,20.7,2027-03,2,2027-04,0.56,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.81,0.93,8,84,42.0,16,84,+100 slots per missed rare event (M UNDEMONSTRATED),11,168.0,21.0,20.0,2027-04,1,2027-04,0.56,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.81,0.93,8,84,42.0,16,84,+100 slots per missed rare event (M UNDEMONSTRATED),11,184.0,23.0,20.7,2027-05,1,2027-05,0.56,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.81,0.93,8,84,42.0,16,84,+100 slots per missed rare event (M UNDEMONSTRATED),11,202.0,25.2,20.0,2027-06,1,2027-06,0.56,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.81,0.93,8,84,42.0,16,84,+100 slots per missed rare event (M UNDEMONSTRATED),11,206.0,25.7,20.7,2027-07,1,2027-07,0.56,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.81,0.93,8,84,42.0,16,84,+100 slots per missed rare event (M UNDEMONSTRATED),11,186.0,23.2,20.7,2027-08,1,2027-08,0.56,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.81,0.93,8,84,42.0,16,84,+100 slots per missed rare event (M UNDEMONSTRATED),11,180.0,22.5,20.0,2027-09,1,2027-09,0.56,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.81,0.93,8,67,33.5,13,67,+100 slots per missed rare event (M UNDEMONSTRATED),9,166.0,20.8,20.7,2026-10,1,2026-10,0.44,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.81,0.93,8,67,33.5,13,67,+100 slots per missed rare event (M UNDEMONSTRATED),9,148.0,18.5,20.0,2026-11,1,2026-11,0.44,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.81,0.93,8,67,33.5,13,67,+100 slots per missed rare event (M UNDEMONSTRATED),9,98.0,12.2,20.7,2026-12,1,2026-12,0.44,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.81,0.93,8,67,33.5,13,67,+100 slots per missed rare event (M UNDEMONSTRATED),9,84.0,10.5,20.7,2027-01,1,2027-01,0.44,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.81,0.93,8,67,33.5,13,67,+100 slots per missed rare event (M UNDEMONSTRATED),9,105.2,13.2,18.7,2027-02,1,2027-02,0.44,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.81,0.93,8,67,33.5,13,67,+100 slots per missed rare event (M UNDEMONSTRATED),9,74.0,9.2,20.7,2027-03,1,2027-03,0.44,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.81,0.93,8,67,33.5,13,67,+100 slots per missed rare event (M UNDEMONSTRATED),9,168.0,21.0,20.0,2027-04,1,2027-04,0.44,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.81,0.93,8,67,33.5,13,67,+100 slots per missed rare event (M UNDEMONSTRATED),9,184.0,23.0,20.7,2027-05,1,2027-05,0.44,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.81,0.93,8,67,33.5,13,67,+100 slots per missed rare event (M UNDEMONSTRATED),9,202.0,25.2,20.0,2027-06,1,2027-06,0.44,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.81,0.93,8,67,33.5,13,67,+100 slots per missed rare event (M UNDEMONSTRATED),9,206.0,25.7,20.7,2027-07,1,2027-07,0.44,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.81,0.93,8,67,33.5,13,67,+100 slots per missed rare event (M UNDEMONSTRATED),9,186.0,23.2,20.7,2027-08,1,2027-08,0.44,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.81,0.93,8,67,33.5,13,67,+100 slots per missed rare event (M UNDEMONSTRATED),9,180.0,22.5,20.0,2027-09,1,2027-09,0.44,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.81,0.93,10,84,42.0,16,84,+100 slots per missed rare event (M UNDEMONSTRATED),9,207.5,20.8,20.7,2026-10,1,2026-10,0.45,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.81,0.93,10,84,42.0,16,84,+100 slots per missed rare event (M UNDEMONSTRATED),9,185.0,18.5,20.0,2026-11,1,2026-11,0.45,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.81,0.93,10,84,42.0,16,84,+100 slots per missed rare event (M UNDEMONSTRATED),9,122.5,12.2,20.7,2026-12,1,2026-12,0.45,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.81,0.93,10,84,42.0,16,84,+100 slots per missed rare event (M UNDEMONSTRATED),9,105.0,10.5,20.7,2027-01,1,2027-01,0.45,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.81,0.93,10,84,42.0,16,84,+100 slots per missed rare event (M UNDEMONSTRATED),9,131.6,13.2,18.7,2027-02,1,2027-02,0.45,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.81,0.93,10,84,42.0,16,84,+100 slots per missed rare event (M UNDEMONSTRATED),9,92.5,9.2,20.7,2027-03,1,2027-03,0.45,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.81,0.93,10,84,42.0,16,84,+100 slots per missed rare event (M UNDEMONSTRATED),9,210.0,21.0,20.0,2027-04,1,2027-04,0.45,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.81,0.93,10,84,42.0,16,84,+100 slots per missed rare event (M UNDEMONSTRATED),9,230.0,23.0,20.7,2027-05,1,2027-05,0.45,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.81,0.93,10,84,42.0,16,84,+100 slots per missed rare event (M UNDEMONSTRATED),9,252.5,25.2,20.0,2027-06,1,2027-06,0.45,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.81,0.93,10,84,42.0,16,84,+100 slots per missed rare event (M UNDEMONSTRATED),9,257.5,25.7,20.7,2027-07,1,2027-07,0.45,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.81,0.93,10,84,42.0,16,84,+100 slots per missed rare event (M UNDEMONSTRATED),9,232.5,23.2,20.7,2027-08,1,2027-08,0.45,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.81,0.93,10,84,42.0,16,84,+100 slots per missed rare event (M UNDEMONSTRATED),9,225.0,22.5,20.0,2027-09,1,2027-09,0.45,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.81,0.93,10,67,33.5,13,67,+100 slots per missed rare event (M UNDEMONSTRATED),7,207.5,20.8,20.7,2026-10,1,2026-10,0.35,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.81,0.93,10,67,33.5,13,67,+100 slots per missed rare event (M UNDEMONSTRATED),7,185.0,18.5,20.0,2026-11,1,2026-11,0.35,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.81,0.93,10,67,33.5,13,67,+100 slots per missed rare event (M UNDEMONSTRATED),7,122.5,12.2,20.7,2026-12,1,2026-12,0.35,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.81,0.93,10,67,33.5,13,67,+100 slots per missed rare event (M UNDEMONSTRATED),7,105.0,10.5,20.7,2027-01,1,2027-01,0.35,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.81,0.93,10,67,33.5,13,67,+100 slots per missed rare event (M UNDEMONSTRATED),7,131.6,13.2,18.7,2027-02,1,2027-02,0.35,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.81,0.93,10,67,33.5,13,67,+100 slots per missed rare event (M UNDEMONSTRATED),7,92.5,9.2,20.7,2027-03,1,2027-03,0.35,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.81,0.93,10,67,33.5,13,67,+100 slots per missed rare event (M UNDEMONSTRATED),7,210.0,21.0,20.0,2027-04,1,2027-04,0.35,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.81,0.93,10,67,33.5,13,67,+100 slots per missed rare event (M UNDEMONSTRATED),7,230.0,23.0,20.7,2027-05,1,2027-05,0.35,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.81,0.93,10,67,33.5,13,67,+100 slots per missed rare event (M UNDEMONSTRATED),7,252.5,25.2,20.0,2027-06,1,2027-06,0.35,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.81,0.93,10,67,33.5,13,67,+100 slots per missed rare event (M UNDEMONSTRATED),7,257.5,25.7,20.7,2027-07,1,2027-07,0.35,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.81,0.93,10,67,33.5,13,67,+100 slots per missed rare event (M UNDEMONSTRATED),7,232.5,23.2,20.7,2027-08,1,2027-08,0.35,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.81,0.93,10,67,33.5,13,67,+100 slots per missed rare event (M UNDEMONSTRATED),7,225.0,22.5,20.0,2027-09,1,2027-09,0.35,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.81,1.0,4.5,78,39.0,15,78,+100 slots per missed rare event (M UNDEMONSTRATED),18,93.4,20.8,20.7,2026-10,1,2026-10,0.92,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.81,1.0,4.5,78,39.0,15,78,+100 slots per missed rare event (M UNDEMONSTRATED),18,83.3,18.5,20.0,2026-11,1,2026-11,0.92,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.81,1.0,4.5,78,39.0,15,78,+100 slots per missed rare event (M UNDEMONSTRATED),18,55.1,12.2,20.7,2026-12,2,2027-01,0.92,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.81,1.0,4.5,78,39.0,15,78,+100 slots per missed rare event (M UNDEMONSTRATED),18,47.3,10.5,20.7,2027-01,2,2027-02,0.92,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.81,1.0,4.5,78,39.0,15,78,+100 slots per missed rare event (M UNDEMONSTRATED),18,59.2,13.2,18.7,2027-02,2,2027-03,0.92,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.81,1.0,4.5,78,39.0,15,78,+100 slots per missed rare event (M UNDEMONSTRATED),18,41.6,9.2,20.7,2027-03,2,2027-04,0.92,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.81,1.0,4.5,78,39.0,15,78,+100 slots per missed rare event (M UNDEMONSTRATED),18,94.5,21.0,20.0,2027-04,1,2027-04,0.92,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.81,1.0,4.5,78,39.0,15,78,+100 slots per missed rare event (M UNDEMONSTRATED),18,103.5,23.0,20.7,2027-05,1,2027-05,0.92,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.81,1.0,4.5,78,39.0,15,78,+100 slots per missed rare event (M UNDEMONSTRATED),18,113.6,25.2,20.0,2027-06,1,2027-06,0.92,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.81,1.0,4.5,78,39.0,15,78,+100 slots per missed rare event (M UNDEMONSTRATED),18,115.9,25.7,20.7,2027-07,1,2027-07,0.92,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.81,1.0,4.5,78,39.0,15,78,+100 slots per missed rare event (M UNDEMONSTRATED),18,104.6,23.2,20.7,2027-08,1,2027-08,0.92,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.81,1.0,4.5,78,39.0,15,78,+100 slots per missed rare event (M UNDEMONSTRATED),18,101.2,22.5,20.0,2027-09,1,2027-09,0.92,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.81,1.0,4.5,62,31.0,12,62,+100 slots per missed rare event (M UNDEMONSTRATED),14,93.4,20.8,20.7,2026-10,1,2026-10,0.73,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.81,1.0,4.5,62,31.0,12,62,+100 slots per missed rare event (M UNDEMONSTRATED),14,83.3,18.5,20.0,2026-11,1,2026-11,0.73,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.81,1.0,4.5,62,31.0,12,62,+100 slots per missed rare event (M UNDEMONSTRATED),14,55.1,12.2,20.7,2026-12,2,2027-01,0.73,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.81,1.0,4.5,62,31.0,12,62,+100 slots per missed rare event (M UNDEMONSTRATED),14,47.3,10.5,20.7,2027-01,2,2027-02,0.73,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.81,1.0,4.5,62,31.0,12,62,+100 slots per missed rare event (M UNDEMONSTRATED),14,59.2,13.2,18.7,2027-02,2,2027-03,0.73,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.81,1.0,4.5,62,31.0,12,62,+100 slots per missed rare event (M UNDEMONSTRATED),14,41.6,9.2,20.7,2027-03,2,2027-04,0.73,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.81,1.0,4.5,62,31.0,12,62,+100 slots per missed rare event (M UNDEMONSTRATED),14,94.5,21.0,20.0,2027-04,1,2027-04,0.73,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.81,1.0,4.5,62,31.0,12,62,+100 slots per missed rare event (M UNDEMONSTRATED),14,103.5,23.0,20.7,2027-05,1,2027-05,0.73,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.81,1.0,4.5,62,31.0,12,62,+100 slots per missed rare event (M UNDEMONSTRATED),14,113.6,25.2,20.0,2027-06,1,2027-06,0.73,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.81,1.0,4.5,62,31.0,12,62,+100 slots per missed rare event (M UNDEMONSTRATED),14,115.9,25.7,20.7,2027-07,1,2027-07,0.73,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.81,1.0,4.5,62,31.0,12,62,+100 slots per missed rare event (M UNDEMONSTRATED),14,104.6,23.2,20.7,2027-08,1,2027-08,0.73,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.81,1.0,4.5,62,31.0,12,62,+100 slots per missed rare event (M UNDEMONSTRATED),14,101.2,22.5,20.0,2027-09,1,2027-09,0.73,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.81,1.0,8,78,39.0,15,78,+100 slots per missed rare event (M UNDEMONSTRATED),10,166.0,20.8,20.7,2026-10,1,2026-10,0.52,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.81,1.0,8,78,39.0,15,78,+100 slots per missed rare event (M UNDEMONSTRATED),10,148.0,18.5,20.0,2026-11,1,2026-11,0.52,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.81,1.0,8,78,39.0,15,78,+100 slots per missed rare event (M UNDEMONSTRATED),10,98.0,12.2,20.7,2026-12,1,2026-12,0.52,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.81,1.0,8,78,39.0,15,78,+100 slots per missed rare event (M UNDEMONSTRATED),10,84.0,10.5,20.7,2027-01,1,2027-01,0.52,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.81,1.0,8,78,39.0,15,78,+100 slots per missed rare event (M UNDEMONSTRATED),10,105.2,13.2,18.7,2027-02,1,2027-02,0.52,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.81,1.0,8,78,39.0,15,78,+100 slots per missed rare event (M UNDEMONSTRATED),10,74.0,9.2,20.7,2027-03,2,2027-04,0.52,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.81,1.0,8,78,39.0,15,78,+100 slots per missed rare event (M UNDEMONSTRATED),10,168.0,21.0,20.0,2027-04,1,2027-04,0.52,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.81,1.0,8,78,39.0,15,78,+100 slots per missed rare event (M UNDEMONSTRATED),10,184.0,23.0,20.7,2027-05,1,2027-05,0.52,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.81,1.0,8,78,39.0,15,78,+100 slots per missed rare event (M UNDEMONSTRATED),10,202.0,25.2,20.0,2027-06,1,2027-06,0.52,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.81,1.0,8,78,39.0,15,78,+100 slots per missed rare event (M UNDEMONSTRATED),10,206.0,25.7,20.7,2027-07,1,2027-07,0.52,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.81,1.0,8,78,39.0,15,78,+100 slots per missed rare event (M UNDEMONSTRATED),10,186.0,23.2,20.7,2027-08,1,2027-08,0.52,capacity
0.05,ratified,63,L=0 (cohort measured STRONG 0; UNDEMONSTRATED),63,0.81,1.0,8,78,39.0,15,78,+100 slots per missed rare event (M UNDEMONSTRATED),10,180.0,22.5,20.0,2027-09,1,2027-09,0.52,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.81,1.0,8,62,31.0,12,62,+100 slots per missed rare event (M UNDEMONSTRATED),8,166.0,20.8,20.7,2026-10,1,2026-10,0.41,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.81,1.0,8,62,31.0,12,62,+100 slots per missed rare event (M UNDEMONSTRATED),8,148.0,18.5,20.0,2026-11,1,2026-11,0.41,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.81,1.0,8,62,31.0,12,62,+100 slots per missed rare event (M UNDEMONSTRATED),8,98.0,12.2,20.7,2026-12,1,2026-12,0.41,capacity
0.05,ratified,63,"L=13 sensitivity (cohort existence MODERATE, classifier unknown)",50,0.81,1.0,8,62,31.0,12,62,+100 slots per missed rare event (M UNDEMONSTRATED),8,84.0,10.5,20.7,2027-01,1,2027-01,0.41,capacity
